Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
1,스파이더맨: 노 웨이 홈,2021-12-15 00:00:00,75193912210,0.067,75193912210,7551990,7551990,2948,276692,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이"
2,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04 00:00:00,59767696750,0.053,59767696750,5617130,5617130,2691,197744,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지",샘 레이미,"베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,레이첼 맥아담스,치웨텔 에지오포,소치틀 고메즈"
3,범죄도시2,2022-05-18 00:00:00,52644281070,0.047,52644281070,5118273,5118273,2498,130518,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"마동석,손석구,최귀화,박지환,허동원,하준,정재광,남문철,박지영,이주원,음문석,김찬형,이규원,전진오,이다일,김영성,차우진,박광재,백승익,최재훈,우강민,강덕중,송요셉,서문호,한우열,권혁범,박은우,이도은,김이현,허승,이태규,최광희,권태호,권지훈,전재형,신재환,김원경,천준호,이원행,정수원,김희,이해원,정수일,김태욱,최형우,이시형,김서원,손승범,손상경,박주환,한상경,정우람,정명군,김운영,안재만,이관민,김승환,김무성,김병민,최형락,전국진,김동주,김영준,한상철,이명자,신재용,정동룡,오명진,김상욱,정수용,이광기,이재혁,김대근,선율우,김승현,전정일,백요섭,전찬원,황정윤,이창훈,곽장륜,조용환,김민규,정인기,윤병희,이병희"
4,다만 악에서 구하소서,2020-08-05 00:00:00,38602548990,0.034,38602548990,4357839,4357839,1998,193847,한국,한국,(주)하이브미디어코프,(주)씨제이이엔엠,15세이상관람가,"범죄,액션",홍원찬,"황정민,이정재,박정민,박소이,최희서,송영창,이서환,박명훈,오대환,심영은,김성곤,최정화,이태검,정우영,지현준,박재홍,최상재,김도연,정택호,문정수,김민식,송유현,임성재,권찬민,황인성,소준일,최상재,최병모"
5,반도,2020-07-15 00:00:00,33073948880,0.0289999999999999,33073948880,3812455,3812455,2575,199084,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",연상호,"강동원,이정현,권해효,김민재,구교환,김도윤,이레,이예원,김규백,황영희,장소연,문우진,차시원,박종범,김태준,이승진,안현빈,고동형,오진호,박성현,윤영균,오문강,유동균,김민송,김시호,박세준,김철윤,강전영,신희철,조용환,손윤환,조석인,김희수,김성호,이세랑,김세동,채우식,황윤호,김정승,이한,김평조,장나라,박범석,허승,김원훈,최세인,조전범,이조풍,미석,장격수,유성주,박충환,원진호,용재화,김이연,김희,선우,이태경,황필성,장락천,한성수,김윤도,박종범,박수찬,고나영,박찰리,이한,김만호,황윤호,김한솔,정현옥,윤상원,성백인,박시연,배윤민,최성식,남상우,권용덕,하길현,이보영,문바롬,김진욱,이단,이태환,안재원,전아희,지성은,이재우,김현우,명승훈,김민환,김빛나래,민정은,조현수,현직,김평조,한철훈,노재훈,김정승,김온림,김희진,강춘성,유성재,김태환,유재연,이유진,김오복,김은해,이승진,이도헌,전한승,강준석,공민규,김기태,김통령,김찬욱,김승완,배성민,소윤호,오재세,오현근,임지한,진근호,최정현,곽한훈,한시원,김영조,김왕도,박은철,이웅규,정승욱,김성호,김예원,김단비"
6,모가디슈,2021-07-28 00:00:00,34564987030,0.031,34564987030,3615216,3615216,1688,210856,한국,한국,"(주)덱스터스튜디오,(주)외유내강,(주)필름케이",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,드라마",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식,김재화,박경혜,박명신,한철우,주보비,안세호,이진희,최경훈,이화정,정병두,이나연,김동화,윤경호,장지후,유연석,강승수,임희라,김우영,남태규,배정환,이성환,태상호,김도훈,김동식,김원준,민대웅,정재훈,최정욱,윤대원,김서희,박지영,이종진,최유정,박정,조상원,전상원,김경희,김재훈,이용희,황창기,이희경,이금빈,조순연,한규석"
7,이터널스,2021-11-03 00:00:00,31731747450,0.0279999999999999,31731747450,3050514,3050514,2648,162444,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,드라마",클로이 자오,"안젤리나 졸리,마동석,리처드 매든,쿠마일 난지아니,셀마 헤이엑"
8,블랙 위도우,2021-07-07 00:00:00,29996075620,0.027,29996075620,2962088,2962088,2528,155016,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF",케이트 쇼트랜드,"스칼렛 요한슨,플로렌스 퓨,레이첼 와이즈,데이빗 하버"
9,분노의 질주: 더 얼티메이트,2021-05-19 00:00:00,22059658060,0.02,22059658060,2292415,2292415,2297,131856,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,저스틴 린,"빈 디젤,존 시나,성 강,샤를리즈 테론,미셸 로드리게즈,조다나 브루스터,헬렌 미렌"
10,싱크홀,2021-08-11 00:00:00,21395652690,0.019,21395652690,2195683,2195683,1603,121841,한국,한국,(주)더타워픽쳐스,(주)쇼박스,12세이상관람가,코미디,김지훈,"차승원,이창윤,김성균,이광수,권소현,김혜준,김재화,박옥출,남다름,정영숙,이학주,한태린,김건우,오자훈,나철,김병철,전승재,김경환,박민준,나현민,윤돈선,정서인,정윤하,이두열,어성욱,김태훈,김준혁,장영,이건구,정용락,유현,안용우,윤기현,조제웅,정용태,이상욱,안성봉,김동현,김왕도,오재세,박민지,황여진,김명희,이순화,이주미,송경아,전은미,권정숙,이경태,최지명,권오철,최민혁,김귀례,정우근,장광,김홍파,고창석"
11,극장판 귀멸의 칼날: 무한열차편,2021-01-27 00:00:00,21017231520,0.019,21017231520,2189043,2189043,900,156040,일본,일본,,워터홀컴퍼니(주),15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구,히노 사토시,히라카와 다이스케"
12,베놈 2: 렛 데어 비 카니지,2021-10-13 00:00:00,21116442890,0.019,21116442890,2123652,2123652,1998,151702,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,SF,스릴러",앤디 서키스,"톰 하디,미쉘 윌리엄스,나오미 해리스,레이드 스콧,스티븐 그레이엄,우디 해럴슨"
13,소울,2021-01-20 00:00:00,19034915180,0.017,19034915180,2048228,2048228,2018,160728,미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피트 닥터,"제이미 폭스,티나 페이"
14,테넷,2020-08-26 00:00:00,18481532170,0.016,18481532170,2001171,2001171,2228,166132,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,SF",크리스토퍼 놀란,"존 데이비드 워싱턴,로버트 패틴슨,엘리자베스 데비키,애론 테일러 존슨,마이클 케인,케네스 브래너,히메쉬 파텔,클레멘스 포시,유리 코로콜니코브,앤드류 하워드,마틴 도노반"
15,크루엘라,2021-05-26 00:00:00,19255808440,0.017,19255808440,1983677,1983677,1186,122704,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"드라마,범죄,코미디",크레이그 질레스피,"엠마 스톤,엠마 톰슨,마크 스트롱"
